Installed Packages
freeglut.i386                         2.4.0-7.1.el5         installed           
freeglut.x86_64                       2.4.0-7.1.el5         installed           
freeglut-devel.i386                   2.4.0-7.1.el5         installed           
freeglut-devel.x86_64                 2.4.0-7.1.el5         installed           
freeipmi.x86_64                       0.5.1-6.el5           installed           
freeipmi-devel.x86_64                 0.5.1-6.el5           installed           
freeradius.x86_64                     1.1.3-1.5.el5_4       installed           
freeradius-mysql.x86_64               1.1.3-1.5.el5_4       installed           
freetype.i386                         2.2.1-21.el5_3        installed           
freetype.x86_64                       2.2.1-21.el5_3        installed           
freetype-devel.x86_64                 2.2.1-21.el5_3        installed           
                                                            installed           
                                                            installed           
ftp.x86_64                            0.17-35.el5           installed           
fuse-devel.x86_64                     2.7.4-8.el5           installed           
fuse-libs.x86_64                      2.7.4-8.el5           installed           
gail.i386                             1.9.2-1.fc6           installed           
gail.x86_64                           1.9.2-1.fc6           installed           
gail-devel.x86_64                     1.9.2-1.fc6           installed           
gamin.i386                            0.1.7-8.el5           installed           
gamin.x86_64                          0.1.7-8.el5           installed           
gamin-devel.x86_64                    0.1.7-8.el5           installed           
gamin-python.x86_64                   0.1.7-8.el5           installed           
gawk.x86_64                           3.1.5-14.el5          installed           
gcalctool.x86_64                      5.8.25-1.el5          installed           
gcc.x86_64                            4.1.2-46.el5_4.2      installed           
gcc-c++.x86_64                        4.1.2-46.el5_4.2      installed           
gcc-gfortran.x86_64                   4.1.2-46.el5_4.2      installed           
gcc-java.x86_64                       4.1.2-46.el5_4.2      installed           
gcc44.x86_64                          4.4.0-6.el5           installed           
gcc44-c++.x86_64                      4.4.0-6.el5           installed           
gcc44-gfortran.x86_64                 4.4.0-6.el5           installed           
gd.x86_64                             2.0.33-9.4.el5_4.2    installed           
gd-devel.x86_64                       2.0.33-9.4.el5_4.2    installed           
gdbm.x86_64                           1.8.0-26.2.1          installed           
gdbm-devel.x86_64                     1.8.0-26.2.1          installed           
gdk-pixbuf.x86_64                     1:0.22.0-25.el5       installed           
gdk-pixbuf-devel.x86_64               1:0.22.0-25.el5       installed           
gdm.x86_64                            1:2.16.0-56.el5       installed           
gedit.x86_64                          1:2.16.0-9.el5        installed           
gedit-devel.x86_64                    1:2.16.0-9.el5        installed           
gettext.x86_64                        0.14.6-4.el5          installed           
gettext-devel.x86_64                  0.14.6-4.el5          installed           
ghostscript.i386                      8.15.2-9.11.el5       installed           
